cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,323,0.0349837225207667,0.0163740553429609,0.5856804163025046,-0.0745464109854617,0.1310135219785773,-0.0992647349659123,0.1251945212808645,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Hallmark pathways,Random forest,323,0.0087575190284106,-0.031698313701275,0.3642550042149874,-0.1067750055595492,0.1177661580528824,-0.1370659216234637,0.076254872137239,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Mean baseline,323,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Elastic Net,323,0.0366799699868782,-0.0398915732069588,0.5856804163025046,-0.0570188651063244,0.1272438029958698,-0.1650000798411589,0.0742611121621611,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Random forest,323,0.0316318037551902,-0.0756594526953929,0.3642550042149874,-0.084167531242407,0.1502923983043844,-0.1858142420599535,0.0385543304803901,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,511,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,511,0.0675946404639157,0.0460591257050765,0.616627280741068,-0.0176237706751888,0.149740287471138,-0.0413909940543938,0.1335940108654963,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Random forest,511,0.0558714262124795,0.015009227149764,0.3889819199414443,-0.0326366249727439,0.1421561694836152,-0.0746668233371784,0.0965883402020389,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Mean baseline,511,,,0.0,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Elastic Net,511,0.0540912880680697,-0.0251711429434787,0.616627280741068,-0.0232377254318513,0.1356273083887222,-0.110061763044096,0.0647470982508045,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Random forest,511,0.0648741279796605,-0.0391423607114078,0.3889819199414443,-0.0260822225829054,0.1532633108651715,-0.1312900328400613,0.0481394381395777,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,352,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,352,0.0064545622251929,-0.0576111408264382,0.4317497226090886,-0.1208668865734849,0.1308807451845283,-0.1493017146409136,0.0371439320471707,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Random forest,352,0.1871197588564081,0.1489618345142424,0.3444455403140255,0.0954099933285411,0.2729562618142135,0.0449390572850036,0.2428612556991428,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,AUC,Hallmark pathways,Mean baseline,352,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,5,vorinostat,Confirmatory extension,HDAC inhibition
